8	7	7	6	8	7	8	8
8	7	8	6	6	6	8	8
8	7	8	7	8	7	9	8
6	2	4	4	7	4	6	6
8	7	8	6	7	7	9	8
8	6	6	7	9	7	8	8
6	3	5	4	6	4	7	6
9	9	9	8	9	9	10	9
5	2	4	3	5	3	6	5
7	6	7	4	5	5	7	7
7	6	7	5	6	5	8	7
8	6	6	7	9	7	8	8
6	2	4	4	7	4	6	6
7	5	6	4	5	4	7	7
6	2	3	4	8	5	6	5
7	5	6	4	6	5	7	7
9	7	8	7	9	8	9	8
5	2	5	2	4	2	6	5
9	9	8	8	9	9	9	9
8	7	7	7	8	7	9	8
7	6	7	5	5	5	8	7
8	7	7	6	8	7	8	8
8	7	8	7	8	7	9	8
10	10	9	9	9	9	10	9
7	5	7	4	5	4	7	7
7	6	7	5	5	5	8	7
7	4	5	4	6	5	7	6
7	6	7	5	6	5	8	7
8	6	6	7	9	7	8	8
8	6	6	7	9	7	8	8
10	10	9	9	9	9	10	9
7	5	5	6	9	7	8	7
6	3	5	4	6	4	7	6
6	3	5	3	5	3	7	6
6	3	5	3	5	3	6	6
5	2	4	3	6	3	6	5
9	8	8	7	8	8	9	9
8	7	7	7	8	7	9	8
8	6	7	6	7	6	8	7
5	2	4	2	4	2	6	5
8	6	7	7	9	7	8	8
8	6	7	6	8	7	8	8
10	10	9	9	9	9	10	10
6	3	5	4	6	4	7	6
7	6	7	5	6	5	8	7
8	7	8	5	5	5	8	8
10	10	9	9	9	9	10	10
6	4	6	3	4	3	7	6
10	10	9	9	10	9	10	10
8	6	6	7	9	7	8	8
5	2	4	3	6	3	6	5
7	5	6	4	5	4	7	7
7	5	6	6	8	6	8	7
8	6	7	7	8	7	8	8
5	2	3	3	6	3	6	5
6	3	5	5	8	5	7	6
8	8	8	7	8	7	9	8
9	9	9	8	9	9	10	9
7	5	6	6	8	6	8	7
8	7	8	6	6	6	8	8
9	9	9	8	9	9	10	9
9	8	8	7	8	7	9	8
9	9	9	9	9	9	10	9
6	2	5	3	6	4	6	6
5	2	4	3	6	4	6	5
7	5	7	4	5	4	7	7
5	2	4	3	5	3	6	5
8	6	6	7	9	7	8	8
8	5	6	7	9	7	8	7
8	7	7	7	9	8	9	8
5	2	4	3	5	3	6	5
7	4	5	6	9	6	7	7
9	7	7	8	10	8	9	8
8	6	7	6	7	6	8	7
6	3	5	3	5	3	6	6
7	6	7	4	5	4	8	7
6	2	4	4	6	4	6	6
7	5	6	5	7	6	8	7
8	7	8	5	6	6	8	8
6	4	6	4	6	4	7	6
6	2	4	4	6	4	6	6
10	10	9	9	9	9	10	9
10	10	9	9	9	9	10	9
8	8	8	6	7	6	9	8
6	2	4	3	5	3	6	6
8	6	6	6	9	7	8	8
5	2	4	2	4	2	6	5
8	7	7	7	9	8	9	8
10	10	9	9	9	9	10	9
9	9	9	8	9	9	10	9
9	8	8	7	8	8	9	8
6	4	6	4	5	4	7	6
7	4	5	5	8	5	7	6
7	6	7	5	5	5	8	7
8	6	7	6	8	7	8	8
9	9	9	8	9	9	10	9
7	5	7	4	5	4	7	7
6	3	5	5	8	5	7	6
7	6	7	5	5	5	8	7
6	3	5	3	4	3	6	6
6	2	4	4	6	4	6	6
8	6	7	5	6	5	8	7
7	6	7	5	5	5	8	7
6	3	5	4	6	4	7	6
8	6	7	7	8	7	8	8
9	9	9	8	9	9	10	9
10	10	9	9	9	9	10	10
9	9	9	9	9	9	10	9
10	10	9	9	9	9	10	10
9	8	8	7	8	8	9	8
8	6	6	7	9	7	8	8
7	3	5	6	9	6	7	7
7	5	6	6	9	7	8	7
8	7	7	7	9	8	9	8
7	6	7	5	6	5	8	7
7	6	7	5	5	5	8	7
6	2	4	4	8	5	6	6
8	6	7	7	9	8	9	8
8	5	6	8	10	8	8	8
6	2	4	3	5	3	6	5
8	6	6	7	9	8	8	8
