8	6	7	6	8	7	8	8
8	6	7	5	6	5	8	7
10	10	9	9	9	9	10	10
7	4	6	4	6	5	7	6
7	5	7	4	5	4	7	7
7	6	7	4	5	5	8	7
7	6	7	4	5	4	7	7
7	5	7	4	5	5	7	7
9	8	7	9	10	9	9	9
6	2	3	5	9	5	6	6
6	3	5	4	6	4	7	6
8	6	7	7	9	7	8	8
8	7	7	7	8	7	8	8
7	3	5	5	7	5	7	6
7	6	7	4	5	4	8	7
10	10	9	9	9	9	10	9
9	9	9	8	9	9	10	9
8	6	7	6	7	6	8	8
6	2	5	4	6	4	6	6
5	2	4	3	6	3	6	5
10	10	9	9	9	9	10	10
7	5	7	4	4	4	7	7
8	7	8	7	8	7	9	8
6	3	5	2	4	3	6	6
8	7	7	6	7	6	8	8
7	5	6	6	8	6	8	7
6	2	4	4	7	4	6	5
7	6	7	5	5	5	8	7
8	6	7	5	6	5	8	7
10	9	9	9	9	9	10	9
8	7	7	6	7	6	8	8
8	6	6	6	8	7	8	7
9	9	9	8	9	9	10	9
9	9	9	8	9	9	10	9
9	9	9	9	9	9	10	9
8	6	7	5	6	6	8	7
7	6	7	5	6	5	8	7
6	3	5	4	6	4	7	6
7	4	6	4	6	4	7	6
5	2	4	3	6	3	6	5
10	10	9	9	9	9	10	9
8	6	7	5	6	5	8	7
8	6	7	5	6	5	8	7
7	6	7	5	5	5	8	7
9	8	8	8	9	8	9	9
7	6	7	5	5	5	8	7
10	10	9	9	9	9	10	9
10	10	9	9	9	9	10	9
5	2	4	3	5	3	6	5
7	4	6	4	5	4	7	6
5	2	2	4	9	5	6	5
10	10	9	9	9	9	10	9
8	6	7	7	9	7	8	8
6	2	4	6	10	6	7	6
7	5	7	5	6	5	8	7
10	10	9	9	9	9	10	9
10	10	9	9	9	9	10	9
7	5	6	6	8	6	8	7
6	4	6	4	6	4	7	6
7	5	7	4	4	4	7	7
6	4	6	2	3	3	7	6
7	5	7	4	5	4	7	7
8	5	6	7	9	7	8	7
7	6	7	5	5	5	8	7
8	6	7	6	7	6	8	8
5	2	4	3	6	4	6	5
10	10	9	9	9	9	10	9
7	6	7	5	5	5	8	7
9	9	8	8	9	9	10	9
9	7	7	8	9	8	9	8
8	7	8	6	6	6	8	8
8	5	6	7	9	7	8	7
6	3	5	4	7	5	7	6
7	6	7	5	6	5	8	7
8	7	7	7	8	7	9	8
7	5	6	4	5	5	7	7
7	3	5	5	8	5	7	6
6	3	5	3	4	3	6	6
8	7	7	7	8	7	9	8
7	6	7	4	5	5	7	7
8	6	7	8	10	8	9	8
8	6	7	7	9	8	8	8
8	7	7	7	8	7	8	8
7	5	6	5	6	5	8	7
10	9	9	9	10	9	10	9
7	5	6	4	5	4	7	7
8	6	6	7	9	7	8	8
8	5	6	7	9	7	8	7
8	6	6	8	10	8	9	8
5	2	2	4	8	4	6	5
10	9	9	9	9	9	10	9
9	8	8	8	8	8	9	9
10	9	9	9	9	9	10	9
10	9	9	9	9	9	10	9
6	3	5	5	7	5	7	6
8	6	7	7	8	7	8	8
8	7	7	6	8	7	8	8
9	9	9	8	9	9	10	9
8	6	8	5	5	5	8	7
10	10	9	8	9	9	10	9
